name,scissor_kick_combined,bat_speed,swing_length,attack_angle,attack_direction,swing_path_tilt
"Merrill, Jackson",True,71.5,7.5,8.63754797298573,0.0789617318858175,38.5202405293135
"Neto, Zach",False,68.7,7.0,19.2363356161231,-5.677698700010926,40.05065391767376
"Henderson, Gunnar",False,72.7,7.3,9.724988278018746,0.5793294948235305,31.68469560218965
"Albies, Ozzie",False,67.1,7.1,11.42185996013644,-4.184467415773107,34.869273223563205
"Freeman, Freddie",False,69.0,6.7,6.470509479986129,3.737929729421034,42.23895048511746
"Adell, Jo",False,75.3,7.7,9.185035297402996,-4.123885960794647,35.4586776684654
"Olson, Matt",True,72.9,7.5,9.519462392856306,-1.2795409792024603,33.64147543124781
"Turner, Trea",False,70.2,7.5,8.194180036486795,-2.613369100963153,25.630673823091325
"Crow-Armstrong, Pete",False,72.0,7.3,14.300997062940963,-4.898419489855296,35.25047071063053
"Harper, Bryce",False,72.7,7.3,11.93775677330552,-0.9958081508265644,37.08946100107194
"Bichette, Bo",False,68.2,7.1,0.9668596062888852,4.703328384724392,37.61266008118914
"Lowe, Brandon",False,70.9,7.0,14.7112234460952,-1.1962395644439183,33.68252548385165
"Devers, Rafael",False,70.6,7.4,8.550170397463534,6.84880736607078,30.576696937909137
"Pages, Andy",True,70.8,7.6,5.855241125977312,-1.784713796327975,39.875246488946125
"Abreu, Wilyer",False,72.4,7.1,7.2525875354167155,1.3383112841944866,33.179818384536944
"Perez, Salvador",False,70.2,7.7,11.318901530956849,-3.850888901102197,34.463275450829215
"Schwarber, Kyle",False,74.2,7.4,14.862513697003084,-8.848421100294797,29.23706896532752
"Greene, Riley",True,74.1,7.1,13.888207162159116,0.9457118220733206,44.017277798215225
"Walker, Christian",False,72.1,7.4,7.250604477097174,-4.413958813384546,28.62998592323997
"Rafaela, Ceddanne",True,67.3,7.1,7.582608750767124,1.114487486235097,32.01478159850072
"Alonso, Pete",False,73.0,7.1,9.8672413794986,3.14811490426258,33.66302147345953
"Abrams, CJ",False,70.6,7.6,12.405171809763054,-4.310499180943966,28.96635235821445
"Burleson, Alec",False,71.6,7.5,12.298942858584724,3.325935581859964,35.777992870692245
"Reynolds, Bryan",False,70.5,6.9,9.73641887674756,3.4473661395958426,37.73497613632344
"Riley, Austin",True,74.0,7.5,10.797290269755658,-3.5584848587891744,31.62400449934079
"Paredes, Isaac",True,65.8,7.7,14.440851668803276,-10.468351203324335,34.21963833559585
"Bell, Josh",False,70.3,7.9,9.259213943006811,-1.5250735021878752,33.69153376274508
"Goodman, Hunter",True,73.9,7.3,14.230583400254115,-5.446664091464484,24.178967934645964
"Machado, Manny",False,72.7,7.8,6.85764215098709,-0.5561801632097758,26.31838054558385
"Turang, Brice",True,67.7,6.6,6.689348247286918,10.015253183249682,36.09157780226131
"Rodríguez, Julio",False,75.0,7.7,7.361248495413963,-3.7794311363588617,31.200125803771577
"Nimmo, Brandon",False,70.6,6.9,6.193829161944309,4.061528426018821,29.389959116435
"Happ, Ian",False,70.6,6.8,10.561686111084718,-4.062042391630694,33.448853683819785
"Harris II, Michael",False,72.8,8.1,6.769118189186028,-2.961912059663976,31.347435192098114
"Busch, Michael",False,65.8,6.9,14.446510996214617,-0.6573726702197706,33.92826798729117
"Aranda, Jonathan",False,68.3,7.0,6.712330912436928,7.6324556846774,34.607435865523414
"Vargas, Miguel",False,72.2,7.7,11.79742165783262,-2.8586670585388543,34.53355264407909
"Wood, James",False,74.0,7.4,10.48431109569835,2.1724332729233287,39.64985849167309
"Lee, Brooks",True,68.0,6.9,10.158418440740968,-4.89586258486108,30.552974723081253
"Carroll, Corbin",False,74.2,7.4,10.542410713512597,2.1698634276875604,25.95431615612028
"Marte, Ketel",False,73.3,7.7,8.822199016870409,-7.054608559356375,31.706748472990828
"Arraez, Luis",False,61.6,5.8,7.703652733500776,3.910053990076957,36.70318219587968
"Arozarena, Randy",True,68.7,7.1,6.884521896220995,7.005183434602716,26.53551409526022
"Adames, Willy",False,70.5,8.1,14.801929283660163,-3.176508393761716,33.69454086157593
"Tucker, Kyle",False,68.8,7.3,8.825760272906454,-4.766847434356155,36.08887356279018
"Tatis Jr., Fernando",True,73.0,7.2,5.8863929086675535,4.09896193306579,29.37581170472093
"Langeliers, Shea",False,74.1,7.2,11.134748395651249,-0.6591553596027363,31.080530383160465
"Duran, Jarren",True,73.0,7.5,5.446114329258441,-0.8921741643129509,27.34685102620443
"Castro, Willi",False,71.2,7.2,8.051007172157174,-2.607305877740445,37.002581528720064
"Díaz, Yandy",False,72.3,7.5,1.5837226454817617,8.347870577107328,23.68148221767153
"Ohtani, Shohei",False,73.0,7.8,12.494289644930518,1.6718048084434414,37.32426565449284
"Contreras, Willson",False,74.6,7.8,10.425105757114874,-6.198080161511855,33.71776277928297
"Edwards, Xavier",False,65.8,6.3,4.791809667864007,-0.7949267412985968,30.01015325172315
"Burger, Jake",False,73.5,7.4,8.597974686953913,-5.841083855902712,25.6352148879372
"Torkelson, Spencer",False,71.5,7.7,14.765654763721148,-6.851682210006379,37.92410434766991
"Lopez, Otto",False,69.7,6.7,4.702525181500213,-2.2121166481087764,29.364739012416614
"Bellinger, Cody",False,68.1,7.8,12.755920723472148,0.7685141849965413,33.979580578372975
"Caminero, Junior",False,78.3,8.6,8.090099093149934,-5.595403211435276,24.1065325281839
"Clement, Ernie",True,65.2,7.1,11.585198725029391,-4.8275060542867845,29.71562245910569
"Hoerner, Nico",True,66.9,7.2,5.059298470169275,-0.7242363448392024,32.092107895155834
"Smith, Cam",True,75.4,7.6,9.746111337199473,-3.595003129736193,33.124015035279264
"Rice, Ben",False,70.8,7.6,12.275410757122694,-4.475771699360322,33.743071934456744
"Dingler, Dillon",True,70.4,7.5,12.35208389456391,-2.020236331327456,40.38139485493775
"Guerrero Jr., Vladimir",False,74.8,7.5,0.7413302511492361,-2.0030349840806263,28.232550721321903
"Meidroth, Chase",True,64.3,6.5,9.54256815808472,5.604848094713667,30.631703622059668
"Witt Jr., Bobby",False,72.0,6.9,4.219938077473199,0.2386555641408886,27.9806627580934
"Naylor, Josh",False,68.1,7.5,7.7524561921237,-6.718202439263712,29.28184321271293
"Swanson, Dansby",False,69.6,7.5,14.536997147391418,-3.205651773050334,34.577217678697686
"Chisholm Jr., Jazz",False,70.7,7.8,14.592177952768877,-8.414263934512446,31.4035802295826
"Perdomo, Geraldo",False,63.6,6.7,6.000858779277143,-2.141414241282783,38.19841187724724
"Raleigh, Cal",False,72.4,7.8,16.53851756123734,-4.432171967520967,34.588889619013166
"Arenado, Nolan",True,69.3,8.3,11.991083948641858,-9.768954455446536,33.241990393204524
"Ward, Taylor",True,66.5,6.8,5.76698347036609,1.4526698297311496,30.68425114161632
